,Name,Album,Artist,URL
51,IT'S YOU (feat. keshi),IT'S YOU (feat. keshi),MAX,https://open.spotify.com/track/5SMCxRA6hB2jEhroaYfw6N
52,Young & Dumb (feat. Simple Plan),Young & Dumb (feat. Simple Plan),Avril Lavigne,https://open.spotify.com/track/3mJncxEu2NrKYfRvoWiVfm
53,feelslikeimfallinginlove - Single Version,feelslikeimfallinginlove,Coldplay,https://open.spotify.com/track/1YsU8rW2u8z4F0pwOBQ4Ea
54,Desire (with Sam Smith),Desire (with Sam Smith),Calvin Harris,https://open.spotify.com/track/22dUzMFttcR3uU17NcOAIv
55,Told You So,Told You So,Martin Garrix,https://open.spotify.com/track/52dEZA0A4siRTuA4e8w3ll
56,Snow On The Beach (feat. Lana Del Rey),Midnights (3am Edition),Taylor Swift,https://open.spotify.com/track/6ADDIJxxqzM9LMpm78yzQG
57,ALL MY LOVE,Moon Music,Coldplay,https://open.spotify.com/track/6iYxkBHyMpsgVxUgfy5fSx
58,Do It Again,Do It Again,Ray Dalton,https://open.spotify.com/track/1IeQnQxCs2YJN6u3wQbUyX
59,STUPID IN LOVE (feat. HUH YUNJIN of LE SSERAFIM),STUPID IN LOVE (feat. HUH YUNJIN of LE SSERAFIM),MAX,https://open.spotify.com/track/60JZB9waHUPWJTGbYO6kDB
60,Before You,Pop Mania,Various Artists,https://open.spotify.com/track/3MbH4TbtxRpWwUJ9scSAGr
61,Yummy (with Dhurata Dora & Stefflon Don),Yummy (with Dhurata Dora & Stefflon Don),INNA,https://open.spotify.com/track/4UBQzePH33VgggQbnS7K0v
62,LIFETIMES,LIFETIMES,Katy Perry,https://open.spotify.com/track/0K8sKuo6xLHZgySZmmw2rV
63,Welcome To New York (Taylor's Version),1989 (Taylor's Version),Taylor Swift,https://open.spotify.com/track/1hR8BSuEqPCCZfv93zzzz9
64,Ladida,Ladida,MIRA,https://open.spotify.com/track/545ffQzLmyqTYkUhaodJUv
65,Ma Bebe,Ma Bebe,Stefania,https://open.spotify.com/track/6YB4SUZCSTJuAzRY5hwApq
66,Lovin On Me,Lovin On Me,Jack Harlow,https://open.spotify.com/track/4xhsWYTOGcal8zt0J161CU
67,shortcut to heaven,shortcut to heaven,lullaboy,https://open.spotify.com/track/0zL5fdl4CvAAYUG3dJVMqS
68,I LUV IT (feat. Playboi Carti),I LUV IT (feat. Playboi Carti),Camila Cabello,https://open.spotify.com/track/2H2ytI7ompfNmRkI2sq8Uk
