Name,Album,Artist,URL,Language
,,Various Artists,https://open.spotify.com/track/4B4EtLPpQUrVwzOhj3rmPL,marathi
,,Various Artists,https://open.spotify.com/track/5HlhYo2hTui7SyOyFMyheX,marathi
,,Various Artists,https://open.spotify.com/track/3PTxDYsiDFpo1J00ELYdKf,marathi
,,Various Artists,https://open.spotify.com/track/7mEARhzD4N9nXPGxCWuBvT,marathi
"Maay Bhavani (From ""Tanhaji - The Unsung Warrior"")","Maay Bhavani (From ""Tanhaji - The Unsung Warrior"")",Sukhwinder Singh,https://open.spotify.com/track/4kBlS162jP01b4uFMbGx3A,marathi
Ti Talwar,Baghtos Kay Mujara Kar,"Amit raj,Kshitij Patwardhan",https://open.spotify.com/track/6UKIdMuN0KdbN1KlRc7eBj,marathi
Sunya Sunya,Timepass 2 (Original Motion Picture Soundtrack),Chinar Mahesh,https://open.spotify.com/track/0qsFwFCOKiBJqjz2yofAFJ,marathi
Yugat mandali,Pawankhind,Devdutta Manisha Baji,https://open.spotify.com/track/0POW5ANaPotn05tWTneeV6,marathi
Raja Aala,Pawankhind,Devdutta Manisha Baji,https://open.spotify.com/track/5TPlJn8nfTT6bd9FwGgof8,marathi
,,Various Artists,https://open.spotify.com/track/3MtFEFSRtkWn55BE1uPkT6,marathi
Zenda,Zenda (Original Motion Picture Soundtrack),Avadhoot Gupte,https://open.spotify.com/track/6wShxVIMK8kuUDCY4BwSvB,marathi
Zindagi Zindagi,Duniyadari (Original Motion Picture Soundtrack),Samir Saptiskar,https://open.spotify.com/track/1atBjC8A1QgcAPXF4k8OOi,marathi
Ye Go Ye Ye Maina,Jatra (Original Motion Picture Soundtrack),Ajay-Atul,https://open.spotify.com/track/4fKxzNxlp8vsR8Lm0pPxAV,marathi
Morya Morya,Uladhaal (Original Motion Picture Soundtrack),Ajay-Atul,https://open.spotify.com/track/7M587gUiVreE896xpUzQjR,marathi
Man Sudhha Tuza,Double Seat (Original Motion Picture Soundtrack),Hrishikesh,https://open.spotify.com/track/3pa0djY0uyeR71F4TUzrLy,marathi
,,Various Artists,https://open.spotify.com/track/3INvOpMrukc0gefsiBRQz1,marathi
,,Various Artists,https://open.spotify.com/track/17l4S5mxseVvX42fXwBBQD,marathi
Hambir Tu (feat. Pravin Tarade),Sarsenapati Hambirrao,Avinash Vishwajeet,https://open.spotify.com/track/7v3Q2gjLG0gNiQRcKSFRtf,marathi
Devicha Gondhal,Sarsenapati Hambirrao,Avinash Vishwajeet,https://open.spotify.com/track/0queopsSgDWqgNsDhotA1c,marathi
Saat Daudale,Sarsenapati Hambirrao,Avinash Vishwajeet,https://open.spotify.com/track/5UwPgYxwOOzoKhnrzn4EFI,marathi
Shambho,Sarsenapati Hambirrao,Avinash Vishwajeet,https://open.spotify.com/track/4hDr7DqXfDrMW3Z7FuTV55,marathi
Payee Fufata,Lagan,Rohit Nagbhide,https://open.spotify.com/track/5mEzEj8EyeWuPOrIpVkMkt,marathi
Maai Bappa Vithala,Maai Bappa Vithala,Ajay Gogavale,https://open.spotify.com/track/0dmSiiKGHDZoWawztQmZlJ,marathi
Rakumai,Poshter Girl,"Amit raj,Kshitij Patwardhan",https://open.spotify.com/track/4UeyXjzqJl47vWzRiG8i8d,marathi
,,Various Artists,https://open.spotify.com/track/2ZP5VmJw46Hm7lm9pjhsR0,marathi
"Velhala (From ""Savita Damodar Paranjpe"")","Velhala (From ""Savita Damodar Paranjpe"")",Nishaa Upadhyaya Kapadia,https://open.spotify.com/track/5ZYkvlPvjahUTUEA0EgxKB,marathi
Sajiri Gojiri,Tujha Tu Majha Mi (Original Motion Picture Soundtrack),Pankaj Padghan,https://open.spotify.com/track/34zdo2vovhTHIft3SPYLNt,marathi
Gajananaa Gajananaa,Lokmanya- Ek Yugpurush,Shankar Mahadevan,https://open.spotify.com/track/6H8vBG736nMVCKCOOLOJTx,marathi
Goryaa Goryaa,Tujhya Majhya Sansaarala Ani Kaay Hava,Various Artists,https://open.spotify.com/track/0rR06YoqX3vfhJZ2TMDTEl,marathi
Dev Malhari,Dev Malhari,Preet Bandre,https://open.spotify.com/track/0K59SDR43GdPpSyOSLvbeB,marathi
Swarg Ha Nava,Tujhya Majhya Sansaarala Ani Kaay Hava,Various Artists,https://open.spotify.com/track/6DpwPjhfQboIPgj0RLvEaH,marathi
Gondhal,Aga Bai Arechya (Original Motion Picture Soundtrack),Ajay-Atul,https://open.spotify.com/track/7EahmWx3WvHXV4sn2KZIsH,marathi
,,Various Artists,https://open.spotify.com/track/51viPhTkgIORUPTaukrPVa,marathi
Sar Sukhachi Shravani,Mangalashtak Once More (Original Motion Picture Soundtrack),Nilesh Moharir,https://open.spotify.com/track/2nfr9OCxsUju4sg10oRCxe,marathi
,,Various Artists,https://open.spotify.com/track/59Lw799tXX0Roi73VgG8ZS,marathi
Tula Pahate Re,Tula Pahate Re,Sohni Bhatt,https://open.spotify.com/track/6LChjMmTjgX6G9AV7023BC,marathi
Shabdavachun Kalale Sare,Bhai Vyakti Ki Valli Uttarardha,Various Artists,https://open.spotify.com/track/1Sa5eFB0tTNdS24s7PE2GA,marathi
,,Various Artists,https://open.spotify.com/track/2KnFcm1A9i8qhR3rnfzQHh,marathi
"Deh Petude - From ""De Dhakka 2""","Deh Petude (From ""De Dhakka 2"")",Riya Bhattacharya,https://open.spotify.com/track/29ChmCkYZv45kDENdPmn4e,marathi
"Ved Tujha (From ""Ved"")","Ved Tujha (From ""Ved"")",Ajay-Atul,https://open.spotify.com/track/6QAK7tNXGNeHQlkE67y9Wa,marathi
Ved Lavlay,Ved (Original Motion Picture Soundtrack),Ajay-Atul,https://open.spotify.com/track/7tVqxbTLELBul4nLg08mMn,marathi
,,Various Artists,https://open.spotify.com/track/3rrPvlxf309L2uRWkq3yDt,marathi
Kevadyacha Paan Tu,Sarla Ek Koti (Original Motion Picture Soundtrack),Vijay Narayan Gavande,https://open.spotify.com/track/5LEwfrYcwE6rW9R6ehORDb,marathi
Baharla Ha Madhumas,Maharashtra Shaheer,Ajay-Atul,https://open.spotify.com/track/0eVmQAZIHRnrcPLgguW0hS,marathi
Aali Thumkat Naar,Aali Thumkat Naar - Mumbai Pune Mumbai 3,Adarsh Shinde,https://open.spotify.com/track/1YzIGXwvbFWzoQ4DuXQfrP,marathi
Gau Nako Kisna,Maharashtra Shaheer,Ajay-Atul,https://open.spotify.com/track/3VLNmCARrPjOa7sdWBbDmV,marathi
"Ji Ji Ra (Theme Song) - From ""Raav Rambha""","Ji Ji Ra (Theme Song) [From ""Raav Rambha""]",Yash Bhalekar,https://open.spotify.com/track/3goJC8ABSeHepPUKnlQ2jj,marathi
"Sukh Kalale (Ajay Gogavale Version) [From ""Ved""]","Sukh Kalale (Ajay Gogavale Version) [From ""Ved""]",Ajay-Atul,https://open.spotify.com/track/1qF1rbhJ29EZvNLi4KSDcC,marathi
Jara Chukiche,Ayushyawar Bolu Kahi,Sandeep Khare,https://open.spotify.com/track/4JDIuvZeqdrEELVcoUchZV,marathi
Dis Jatil Dis Yetil,Shapit,Sudhir Phadke,https://open.spotify.com/track/2TbXjSCTifCBvmtSGHp0GB,marathi
Rang Lagala,Tamasha Live,Pankajj Padghan,https://open.spotify.com/track/2NuZSwxqjTJNWwRhjyCSKs,marathi
Sukh Kalale,Ved (Original Motion Picture Soundtrack),Ajay-Atul,https://open.spotify.com/track/6Q2eTo6myxIXfn4krkNYzT,marathi
Dis Char Jhale,Aaishpath,Ashok Patki,https://open.spotify.com/track/2EfnhsYlku4JCrk2dx38Tz,marathi
Man Talyat Malyat,Diwas Ase Ki,Shailesh Ranade,https://open.spotify.com/track/7FobMWXUnLYsXLYCrHcpPA,marathi
Angani Majhya Manachya,Best of Vaishali Samant,Vaishali Samant,https://open.spotify.com/track/7CKGfPOekXnbYkoyTxDHbp,marathi
"Chimbh Bhijalele - From ""Bandh Premache""",Ajay - Atul Hits,Ajay-Atul,https://open.spotify.com/track/3pCg29CErkhjvJfEpuJoZx,marathi
Dhag Datuni Yetat,Aaishpath,Ashok Patki,https://open.spotify.com/track/1LABsrYQtylSEOBiIQEc7z,marathi
Chimbh Bhijalele,Bandh Premache (Original Motion Picture Soundtrack),Various Artists,https://open.spotify.com/track/6EXCuyXTa3JYSv1eCHa0Ys,marathi
Bai Ga,Chandramukhi,Ajay-Atul,https://open.spotify.com/track/511LnkncpqyDgchYdmyGhJ,marathi
Maval Jaga Zala Ra,Subhedar,Devdutta Manisha Baji,https://open.spotify.com/track/7n0SGLcYX7FqqmsPkDc5VT,marathi
Pahile Na Mi Tula,Marathi Film & Modern Songs,Various Artists,https://open.spotify.com/track/4lblFY0tKNfo4168uuFbNm,marathi
Aale Marathe Aale Marathe,Subhedar,Devdutta Manisha Baji,https://open.spotify.com/track/4CdLqZBYeQUoedDANEQhMZ,marathi
"Khulya Jivala - From ""Baloch""","Khulya Jivala (From ""Baloch"")",Shreya Ghoshal,https://open.spotify.com/track/2Hv2UL4hXOtTQoXenHyH44,marathi
Raja Aala,Pawankhind,Devdutta Manisha Baji,https://open.spotify.com/track/4M78ZWsPeP1kehepfIuiyo,marathi
Sunya Sunya Maifilit Majhya - Umbartha / Soundtrack Version,Umbartha,Various Artists,https://open.spotify.com/track/2haYRyBp2yVO3QdXkUpn63,marathi
Kalbhairav ashtakam,Kalbhairav ashtakam,vinay dolase,https://open.spotify.com/track/2K4OElxU4wa5MMhBeVCgws,marathi
Sinhasani Baisale Shambhu Raje (From Shivrayancha Chhava),Sinhasani Baisale Shambhu Raje (From Shivrayancha Chhava),Devdutta Manisha Baji,https://open.spotify.com/track/6QZPta6QIM4MXeod0FEf74,marathi
Zagamaga,Ole Aale,Sachin-Jigar,https://open.spotify.com/track/78JSqY7BNXfP9EYPwvDfQ1,marathi
"Khara To Ekachi Dharma - From ""Shyamchi Aai""","Khara To Ekachi Dharma (From ""Shyamchi Aai"")",Mahesh Kale,https://open.spotify.com/track/5bWKmXrVsVkPyewxnrlINy,marathi
Ha chandra Tujhya Sathi,Bedhund,Swapnil Bandodkar,https://open.spotify.com/track/4cVm2JtkziZvY6bqi9o26w,marathi
Vatevari Mogra,Vatevari Mogra,Nilesh Moharir,https://open.spotify.com/track/1fc3vkmvNCs3CRvzpRXViN,marathi
Gulabi Sadi,Gulabi Sadi,Sanju Rathod,https://open.spotify.com/track/4ITtnvLQ6SOA8XhiqkLa24,marathi
Kitida Navyane,Ti Saddhya Kay Karte (Original Motion Picture Soundtrack),Vishwjeet Joshi,https://open.spotify.com/track/3AfiaGRrAIIRs2M8XaLkNp,marathi
Kande Pohe,Sanai Choughade,Avadhoot Gupte,https://open.spotify.com/track/1xtf75V8lfh0ifv3Mm86Ha,marathi
"Aabhas Ha (From ""Yanda Kartavya Aahe"")","Aabhas Ha (From ""Yanda Kartavya Aahe"")",Nilesh Mohrir,https://open.spotify.com/track/1nbdXkFXag5byYxOjmeGlE,marathi
Bagh ughaduni dar,Bharatiya,Various Artists,https://open.spotify.com/track/1wM9i76nRxDOItzIviCZZb,marathi
Navri Ni Navryachi Swari,Mangalashtak Once More (Original Motion Picture Soundtrack),Nilesh Moharir,https://open.spotify.com/track/2om7KLzvUx04m1bPNvLvJh,marathi
Saavar Re Mana,Mitwaa (Original Motion Picture Soundtrack),Shankar-Ehsaan-Loy,https://open.spotify.com/track/1cyECXirsoofBBFIIXorj6,marathi
Tola Tola,Tu Hi Re (Original Motion Picture Soundtrack),Amitraj,https://open.spotify.com/track/7FjnFOfObgTCHsfrSVEfQO,marathi
Gajar Maulicha Utsav Kirtanacha,Gajar Maulicha Utsav Kirtanacha,Prasenjit Kosambi,https://open.spotify.com/track/7xbZy1IRPTBTae3dhhfCOd,marathi
"Bharajari Ga Pitambara - From ""Shyamchi Aai""","Bharajari Ga Pitambara (From ""Shyamchi Aai"")",Ashok Patki,https://open.spotify.com/track/60235nDhNB7JBKKkCwUAD8,marathi
Phulale Re Kshan Majhe,Ritu Hirwa (Bhav Geet),Asha Bhosle,https://open.spotify.com/track/2nwLsjUUuzoT8AyoTK4BuP,marathi
Prabhatgeet,Aga Bai Arechya,Ajay-Atul,https://open.spotify.com/track/2uRUdEy6E54yNl8wf4uiHf,marathi
Chum Chum Payee,De Dhakka (Original Motion Picture Soundtrack),Ajit-Atul-Sameer,https://open.spotify.com/track/7LSUnuNgdFcQCPjR9PWHN3,marathi
Taambdi Chaamdi,Taambdi Chaamdi,Kratex,https://open.spotify.com/track/14M0pSvqNEhPdByBNw159R,marathi
Cham Cham Karta,Aga Bai Arechya,Ajay-Atul,https://open.spotify.com/track/1FUAce7VFDfQcV9cznts7r,marathi
Sur Niragas Ho,Katyar Kaljat Ghusli (Original Motion Picture Soundtrack),Shankar-Ehsaan-Loy,https://open.spotify.com/track/7FXrIifBUfrlSrt41BczmH,marathi
