Name,Album,Artist,URL,Language
Ekvira Aai Tu Dongaravari,Ekvira Aai,Various Artists,https://open.spotify.com/track/4cNcqqrD8OQyZKKYlx26Ts,marathi
Aai Bhavani,Savarkhed Ek Gaon (Original Motion Picture Soundtrack),Ajay-Atul,https://open.spotify.com/track/32stfVXv4tsRSru2Ot14Dx,marathi
Varyavarti Gandh,Savarkhed Ek Gaon (Original Motion Picture Soundtrack),Ajay-Atul,https://open.spotify.com/track/0ECK4SanSgpooIj7UloLeR,marathi
Aabhas Ha,Yanda Kartavya Aahe,Avadhoot Gupte,https://open.spotify.com/track/4miR4hZGvWN98NT8bvDRut,marathi
Rani Majhya Malyamandi,Tula Shikwin Chaanglach Dhada (Original Motion Picture Soundtrack),Salil Kulkarni,https://open.spotify.com/track/4MErbcQxS9kcJl0dpYcwyh,marathi
Durchya Ranat,Zombato Ha Garva,Vaishali Samant,https://open.spotify.com/track/5K9VgAEu0SBtSIdR2Kz7jm,marathi
Laal Divyachya Gadila,Yogdaan Bhimaanch,Anand Shinde,https://open.spotify.com/track/0qghWvEGJULF7jJAiBB8Ra,marathi
Pivala Pitambar,Uddharanya Taranya Janmala Bhima,Anand Shinde,https://open.spotify.com/track/5U7epQiT08DXT9je1ILYkw,marathi
Chal - G - Sakhe Pandhreela,Amrutahuni God Vitthalachi Odh,Anuradha Paudwal,https://open.spotify.com/track/49YW7zHMkQfK61s5ciqWWS,marathi
Galavar Khali,Bedhund,Swapnil Bandodkar,https://open.spotify.com/track/7E1jOSacmWyEfkNsOVIUgE,marathi
Ashi Chik Motyanchi Maal,Ganpati Aarti,Suresh Wadkar,https://open.spotify.com/track/6OHErp5fSZLbmBOybEv1vJ,marathi
Mala Pirtichya Jhulyat Jhulwa,Durga Mhantyat Mala,Various Artists,https://open.spotify.com/track/5lfXUHfQF97EYDPQpDLue0,marathi
Sadhi Bholi Meera,Bala Gaun Kashi Angaai,N. Dutta,https://open.spotify.com/track/5HrnjV97NOTkXIymdONeSa,marathi
Drushta Lagnya Joge Sare,Majh Ghar Majha Sansar (Original Motion Picture Soundtrack),Arun Paudwal,https://open.spotify.com/track/6rSZlgmZkcT8WUqp7lmPAB,marathi
,,Various Artists,https://open.spotify.com/track/1LsTEyQJEPORgTbNHATmGw,marathi
,,Various Artists,https://open.spotify.com/track/1r6ASy42iNE0AIDvf1yR4I,marathi
,,Various Artists,https://open.spotify.com/track/7MZcwaKwNJ98YBMHSdrWSg,marathi
To Rangaan Gori,Bhutacha Bhau,Arun Paudwal,https://open.spotify.com/track/4CbtJXM39Y7n11XisdvldX,marathi
Mi Kashi Tula Re,Bhannat Raanwara,Various Artists,https://open.spotify.com/track/4cimqgLmDt24FSmCykZlIC,marathi
Mi Aalo Mi Pahile Filmstar,Hamal De Dhamal (Original Motion Picture Soundtrack),Anil Mohile,https://open.spotify.com/track/50Kib0Zn0jyyXbZGFxm3Nn,marathi
Aala Vhata Jawa Shanideva Tujha Fera,Shame to Shame (Original Motion Picture Soundtrack),Anil Mohile,https://open.spotify.com/track/3HPIYnmHx6AZtXyy0ISlw7,marathi
Mi Tujhach Tujala,Shame to Shame (Original Motion Picture Soundtrack),Anil Mohile,https://open.spotify.com/track/6n7CNULQmC1ofRZSk8NOt6,marathi
Ghumshyan Angaat Aal,Khabardar (Original Motion Picture Soundtrack),Ashok Patki,https://open.spotify.com/track/30kNnGKiPMYQUPKHOW87lj,marathi
Dis Jatil Dis Yetil,Shapit,Sudhir Phadke,https://open.spotify.com/track/2TbXjSCTifCBvmtSGHp0GB,marathi
Haa Sagari Kinara,Bhannat Raanwara,Various Artists,https://open.spotify.com/track/0Mshx4xMNzs84XpjshpbMP,marathi
Mee Kashala Aarshat Pahu Ga,Banya Bapu,Rishi Raaj,https://open.spotify.com/track/4w09RH7T8Be8PE8Wqfnro0,marathi
Pahile Na Mi Tula,Marathi Film & Modern Songs,Various Artists,https://open.spotify.com/track/4lblFY0tKNfo4168uuFbNm,marathi
,,Various Artists,https://open.spotify.com/track/3VuI1nn1tUfbSYbINbP4RW,marathi
Jeev Ha Sang Na,Tu Hi Re (Original Motion Picture Soundtrack),Amitraj,https://open.spotify.com/track/6l3NhNUKqgMBdGmZgYFy7X,marathi
